centrality_value,avg_distance,variance
0.34766558350196247,1.0,0.0
0.3476845030483002,,
0.34770342465390824,,
0.3477412740442804,,
0.3477980635827743,,
0.34781699755106776,,
0.34783593358098674,,
0.3478548716728679,,
0.34793064466675183,2.3333333333333335,0.8888888888888888
0.3479685435442277,2.0,0.0
0.3480064506789893,,
0.34804436607373557,,
0.34808228973116667,,
0.34812022165398376,1.0,0.0
0.3481961103065869,,
0.3482340670417814,3.0,0.0
0.3482910176632994,3.0,0.0
0.3483479869154116,3.0,0.0
0.3483669808078279,2.0,0.0
0.348385976771665,3.0,0.0
0.34842397491495686,,
0.3484809876740244,,
0.34849999607350485,,
0.34851900654677964,1.0,0.0
0.34859506918461175,,
0.34861409003195093,,
0.34870922541292243,3.0,0.0
0.34876633156916664,3.0,0.0
0.34878537111123287,2.3333333333333335,0.5555555555555555
0.348842502212152,,
0.34886155007183384,,
0.34888060001177107,,
0.34891870613377557,2.6666666666666665,0.22222222222222224
0.3489377623165245,1.0,0.0
0.34895682058089267,,
0.34897588092722115,,
0.348994943355851,2.3333333333333335,0.8888888888888888
0.3490140078671236,,
0.34903307446138016,2.7142857142857144,0.39455782312925164
0.3490712139002111,,
0.3490902867454685,,
0.3491284386893751,2.066666666666667,0.9955555555555554
0.3491475177887078,,
0.3491665989734159,2.8333333333333335,0.13888888888888884
0.34918568224384133,1.0,0.0
0.349204767600326,1.0,0.0
0.3492429445728416,,
0.3492620361895569,,
0.3492811298937002,,
0.3493002256856139,1.0,0.0
0.34931932356564044,1.5,0.25
0.3494339547153557,3.0,0.0
0.3494530672217669,,
0.3494721818190331,,
0.3494912985074976,2.3333333333333335,0.8888888888888888
0.3495104172875035,3.0,0.0
0.3495486611235127,1.8,0.9600000000000002
0.3495869133298076,,
0.34964430733954815,,
0.3496634428642494,,
0.349682580483584,,
0.3497208620075299,,
0.3497400059128292,,
0.34975915191413826,,
0.3497783000118014,,
0.3497974502061628,2.0,0.0
0.349816602497567,3.0,0.0
0.3498549133728816,,
0.3498740719574812,3.0,0.0
0.34989323264050187,1.0,0.0
0.34991239542228836,1.6666666666666667,0.8888888888888891
0.3499315603031857,2.5,0.5833333333333334
0.34998906754399145,3.0,0.0
0.3500082408247816,,
0.3500274162064079,3.0,0.0
0.35006577327355015,,
0.35012332463916945,1.6,0.24000000000000005
0.35014251263306645,,
0.35016170273021835,2.8333333333333335,0.13888888888888884
0.35018089493097093,1.5714285714285714,0.8163265306122449
0.35020008923567003,1.0,0.0
0.35021928564466176,2.2,0.9600000000000002
0.35025768477690716,2.4285714285714284,0.2448979591836735
0.3502768875008533,2.2,0.42666666666666664
0.3502960923304767,2.5238095238095237,0.6303854875283446
0.3503152992661237,1.0,0.0
0.35037293271267145,1.0,0.0
0.3503921480758782,,
0.35041136554684166,2.3333333333333335,0.8888888888888888
0.3504498068134257,2.6666666666666665,0.5555555555555555
0.3504690306097402,1.0,0.0
0.35050748453014946,1.0,0.0
0.35054594688991353,,
0.3506036562594284,,
0.35062289693862164,,
0.35064213972973846,,
0.35066138463312646,,
0.35068063164913355,,
0.3506998807781076,,
0.3507768984306338,3.0,0.0
0.35079615812966364,2.3333333333333335,0.8888888888888888
0.35083468387323946,2.0,0.0
0.3508732180798267,,
0.35089248835762105,1.6666666666666667,0.8888888888888891
0.3509117607522142,3.0,0.0
0.35093103526395497,2.6666666666666665,0.5555555555555555
0.3509503118931922,,
0.3509695906402749,,
0.3509888715055521,2.0476190476190474,0.9977324263038547
0.3510274395920864,,
0.351046726814042,,
0.35106601615558897,3.0,0.0
0.3510853076170768,2.0,1.0
0.351123896901273,2.0,1.0
0.3511624946694275,,
0.3512011009243384,3.0,0.0
0.3512204072352022,,
0.351259026225497,1.0,0.0
0.3512976537095488,1.0,0.0
0.35131697063760936,2.0476190476190474,0.9977324263038547
0.35133628969016023,,
0.3513556108675519,2.0,0.0
0.35139425959826004,2.4,0.8399999999999999
0.35143291683253924,2.6666666666666665,0.22222222222222224
0.3514522486393951,3.0,0.0
0.3514909186342941,3.0,0.0
0.35152959713978343,2.111111111111111,0.9876543209876547
0.3515876308615212,2.0,0.0
0.3516069796937738,2.0,1.0
0.3516456837478983,1.0,0.0
0.35168439632386,3.0,0.0
0.3517037558084093,1.0,0.0
0.351742481172405,3.0,0.0
0.3517618470525554,,
0.35180058521092256,3.0,0.0
0.35181995748984385,3.0,0.0
0.3518393319023935,3.0,0.0
0.35185870844892414,3.0,0.0
0.35189746794533844,3.0,0.0
0.3519168508959275,,
0.35199440405573046,3.0,0.0
0.3520525913607871,,
0.35207199140439543,3.0,0.0
0.3520913935862209,3.0,0.0
0.3521107979066169,,
0.35213020436593717,,
0.3521496129645353,,
0.3522661095007754,,
0.35230495880979124,3.0,0.0
0.3523438166886651,3.0,0.0
0.352363248842685,1.8,0.9600000000000002
0.352460441772801,,
0.3524798867933115,,
0.35253823473020823,2.3333333333333335,0.8888888888888888
0.35255768833547974,3.0,0.0
0.3525771440878298,2.619047619047619,0.6167800453514739
0.35259660198761394,3.0,0.0
0.3526160620351876,,
0.3526355242309065,1.4,0.6400000000000001
0.35265498857512634,,
0.3526744550682029,1.6666666666666667,0.8888888888888891
0.3527133945023498,1.0,0.0
0.35275234253619503,,
0.3527912991725877,,
0.35288872841842384,1.6666666666666667,0.2222222222222222
0.3529082207255614,1.0,0.0
0.35300571457072566,3.0,0.0
0.35304472719321234,,
0.3530642367382606,3.0,0.0
0.3530837484396554,1.0,0.0
0.3531032622977542,3.0,0.0
0.3531618168158512,1.6666666666666667,0.2222222222222222
0.353181339304343,,
0.35320086395132755,1.0,0.0
0.353220390757163,,
0.35323991972220736,1.6666666666666667,0.8888888888888888
0.35325945084681876,1.0,0.0
0.3532789841313555,1.0,0.0
0.3533375969481011,2.3333333333333335,0.8888888888888888
0.353357138875923,2.8333333333333335,0.13888888888888887
0.35341577763112975,,
0.35349399291886485,,
0.35353311354667794,,
0.3535722428342869,,
0.35365052740039654,1.0,0.0
0.3536701039587913,1.0,0.0
0.3537484318706364,3.0,0.0
0.3538072005767839,1.0,0.0
0.35382679448499554,1.8,0.9600000000000002
0.3538659888128255,,
0.3538855892331652,3.0,0.0
0.35392479658849785,,
0.35394440352421275,,
0.3539640126324412,1.6666666666666667,0.2222222222222222
0.35404247079771495,,
0.3540817129248262,1.0,0.0
0.35414059242922036,3.0,0.0
0.3541994915187695,3.0,0.0
0.3542780541208586,,
0.35429770021713325,3.0,0.0
0.3543173484924337,,
0.35443528392408546,,
0.35445494746272205,2.0,1.0
0.354474613183287,2.2,0.9600000000000002
0.35455329789209566,3.0,0.0
0.35461233435175465,,
0.3546320175408284,2.8,0.36
0.3546517029151021,1.0,0.0
0.3546910802207053,3.0,0.0
0.3547895617511974,3.0,0.0
0.3548289696776388,3.0,0.0
0.35484867692394134,,
0.35486838635945145,3.0,0.0
0.3548880979845339,,
0.35492752780487546,,
0.3549669663878862,1.0,0.0
0.35498668896630536,1.0,0.0
0.3550064137364874,,
0.35502614069879773,,
0.35506560120126507,3.0,0.0
0.35510507047663203,,
0.35520378206568987,,
0.3552827908588981,,
0.35530254854941407,1.0,0.0
0.3553618348081408,,
0.35538160129133184,3.0,0.0
0.3554013699736087,,
